rank,match,davit,luis,affinity,viewing,viewing_date,davit_verdict,davit_score,luis_verdict,luis_score,address,area,price,m2,price_per_m2,rooms,bedrooms,floor,build_year,energy_label,ownership,leasehold_until,vve_monthly,outdoor,status,summary,url,last_vote
11,YES,yes,yes,60,,,,,,,"Bataviastraat 73 D, 1095 ER Amsterdam",1095ER,695000,93,7473,4,2,,1926,A,leasehold (erfpacht),2056-09-15,187,Balcony 20 m²,available,"Leasehold paid until 2056, 93 m² upstairs flat: 4 rooms, 2 bedrooms, €7.473/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NzY0OHw3NTJlNWI1NzgyMjQ1NWRjYzU4YTJiYTNhNjUzNTRhMzkyOGY0NmIyZGE0MDhjZDBkYzEwM2VmODY3MDA3NGUxNzE3ODg4MjE3YzVlMTQ5Mjg1YzA3ZjZjNGJiMjRmZDViMmMwNjRhMzBmMWMzODQ5YjFkMDAyYTk0NjBjZTZkY3w5MDc1NDk/overzicht,2026-09-11 16:47
12,YES,yes,yes,51,,,,,,,"Marnixstraat 275 2A, 1015 WK Amsterdam",1015WK,675000,73,9247,4,1,1st floor,1871,C,freehold (eigen grond),,,None,available,"Freehold 73 m² upstairs flat from 1871 on the 1st floor: 1 bedrooms, no outdoor space, energy label C, €9.247/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NTk0OHw2NDMyMzBlY2Q5MThjM2QxODk5ZDQyYjc3ZjVlOWEzOWY2NmJhYjhkZTA5NGFlMWY2MjNhZThiMTZlMzEzNzExYzVmYWJlMjBmOGUyZWY1MThhMWQ5YzczNDY4ZDRiZDRiODI5NDQ3NDMwMzc3MDY5NzIyMjk2NWZjY2VhZjc0OHw5MDc1NDk/overzicht,2026-09-11 18:12
13,YES,yes,yes,44,requested,,,,,,"Afrikanerplein 5 3, 1091 PN Amsterdam",1091PN,835000,102,8186,3,2,3rd floor,1929,D,leasehold (erfpacht),,163,None,under offer,"Leasehold (canon not yet checked), 102 m² upstairs flat from 1929 on the 3rd floor: 2 bedrooms, no outdoor space, energy label D, VvE €163/month, €8.186/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg2MDQ0NHwxMTRlMjEzNmMxM2NlNzAzN2NmNzUzOTA5N2MxNjIzOWZkNTJlODkwNjNmNjg1Nzc0MzVkN2Y1MGExNTllYmFlMDhiMWU5OWZjMTVmNmQ1MGM5NzVlNzIxNTU4YWMwYTU2YmMzMTQyMWE3ZGUyMGZiNTc5ZjVmZjhiZmFhYzM1NHw5MDc1NDk/overzicht,2026-09-07 15:53
14,,no,yes,83,,,,,,,"Churchill-laan 192 1, 1078 ET Amsterdam",1078ET,875000,96,9115,3,2,2nd floor,1928,C,leasehold (erfpacht),Eeuwigdure,317,Balcony 4 m²,available,"Leasehold bought off in perpetuity, 96 m² upstairs flat from 1928 on the 2nd floor: 2 bedrooms, balcony 4 m², energy label C, VvE €317/month, €9.115/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5MjY1N3xmZTJhNGE1YmU2MjllZGFiNWNmZDdlNzA4Y2UwZDI3ZjVjYjhhMGRhYWZmYTViMjFhMDhlMjE3OWYzMDA4MDVkNTk1Zjg4ZTFlMDdhZDBkYTIxMmQzMzM1ZThhZWJkMTk2NjVmZDIzZjNlNWFmNjE5MmYxNzFmNjhmZmE4YzIzNHw5MDc1NDk/overzicht,2026-09-12 08:38
15,,no,yes,80,,,,,,,"Titus van Rijnstraat 271, 1058 GB Amsterdam",1058GB,735000,86,8547,3,2,,2009,A++,freehold (eigen grond),2057-06-30,168,Balcony 17 m²,available,"Freehold 86 m² intermediate floor from 2009: 2 bedrooms, balcony 17 m², energy label A++, VvE €168/month, €8.547/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg2MjU5MXw2YzFlMDE1MzQ1YmIzZTI1OGY3M2I3YjI3ZTY4Y2Y4YTk5OWY0OWI4ZjkyZTY3MmUwMTA5ZGM4NjRiYzRkOTZlM2Q3NWMxMDUwZmIxNjA2YWM5ZTg4NzcwZTJmOGFhZTAxNzk0OTEzOWNhMmVmMDM2MzQzOTRlNjA4NDIxYTE5NXw5MDc1NDk/overzicht,2026-09-06 19:57
16,,no,yes,79,,,,,,,"Admiraal De Ruijterweg 129 3, 1056 EX Amsterdam",1056EX,745000,82,9085,3,2,3rd floor,1910,B,freehold (eigen grond),,,Balcony 5 m²,available,"Freehold 82 m² upstairs flat from 1910 on the 3rd floor: 2 bedrooms, balcony 5 m², energy label B, €9.085/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NDUzOXwxNjM1YjU3NzhkOTcxMWJkNjMxYjdkZjdkNzZiNjkwZThhNjk2MzI3NmM2ZjkyM2Q3MDZhOWI0OWQwYzJmNzc5NDUwNmRkZWI3ZjA3ZDNjMmZiMTgzNjQzOTY5ZmM3YzkxY2RlZjJmZDY2NTQ4ZDM0Y2QwZDU5ZWZkODJjNjNmOHw5MDc1NDk/overzicht,2026-09-12 06:05
17,,no,yes,76,,,,,,,"Haarlemmermeerstraat 31 1, 1058 JN Amsterdam",1058JN,650000,72,9028,4,2,1st floor,1933,A+,freehold (eigen grond),,112,Balcony 7 m²,available,"Freehold 72 m² apartment building from 1933 on the 1st floor: 2 bedrooms, balcony 7 m², energy label A+, VvE €112/month, €9.028/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg2NzQ1Nnw4MjcwYWJmNmNkNDRkZjdlMTJhNzczNzdiN2E2YTNlMmY5NzdmNmM5NDdhMzdiOTY3YTVjZjUwMzVkYTE2NTc4OTdjZTQ4YjZhNDE1YTY0M2Y5ZGU1ZmI0NWUzOGRiNjJiNzhiYjUyZGEyZjU5ZjUwYjJlODQwMGY4YjUxYjAzNXw5MDc1NDk/overzicht,2026-09-12 08:37
18,,yes,no,75,,,,,,,"Nassaukade 93 4, 1052 CW Amsterdam",1052CW,800000,93,8602,3,2,4th floor,1886,C,freehold (eigen grond),,113,Garden (Sun terrace) 6 m²,available,"Freehold 93 m² upstairs flat from 1886 on the 4th floor: 2 bedrooms, garden (sun terrace) 6 m², energy label C, VvE €113/month, €8.602/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg2MTA1NXxkZDcwZTA4NWJkMmNhNjExODk1ZDE0MTM0YjQ4NWNjMTgwOWRlY2MwNTdmZDk1MzFiY2M4NDU4MTMzYTE4MzM4YTczNGRjNDY3MzA1OWVhOTA0ODU5OWUxYmFjZDg5MTYxZTVkM2UxZjQzNjJlYjg0YmI4MDIxNGFjYjE2ZjFjNXw5MDc1NDk/overzicht,2026-09-06 19:54
19,,no,yes,75,requested,,,,,,"Slaakstraat 3 2, 1078 BC Amsterdam",1078BC,800000,87,9195,4,3,2nd floor,1936,D,leasehold (erfpacht),,274,Balcony 3 m²,available,"Leasehold (canon not yet checked), 87 m² upstairs flat from 1936 on the 2nd floor: 3 bedrooms, balcony 3 m², energy label D, VvE €274/month, €9.195/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5Njc5M3xmZWMwNzhiZjM0NDY5ZGY1MzMyNGY3NzQwZWVhZDQ4MGYwNWJhNzgyMjg3Njk3NDcwZmZlNDFjNDk4ZWE3ZDI3YzZiMjkyOTBlYTg5NjA3ZDg1MmYxNWEwYmE4ZGY0NTMyMjMzOTgwM2IxMWI4NWU1OTBhY2RmZWU4NjAwMDYxYnw5MDc1NDk/overzicht,2026-09-12 08:38
20,,no,yes,71,,,,,,,"Ruyschstraat 87 R, 1091 BX Amsterdam",1091BX,825000,89,9270,4,3,,2006,A+,freehold (eigen grond),,320,Balcony 5 m²,available,"Freehold 89 m² upstairs flat from 2006: 3 bedrooms, balcony 5 m², energy label A+, VvE €320/month, €9.270/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3OTgxN3w5ZjVjNjNjYWIyZWNkOTgyMGQ2YTQ2MzIwMDQ3MmMxMGUzMjBmYzQ5YmI4M2ExN2Y3MmIwNDBiOTgzMjg5MDc5ZTljMjk1MWYwNmQ2YmJjM2Y0ZmZkYzU2ZTkwYjIyNDc0ODQyZmUzOGZmZjJhYzc4YjdlZWFiYzVlNWIwMmE3YXw5MDc1NDk/overzicht,2026-09-11 06:04
21,,no,yes,70,,,,,,,"Bos en Lommerplein 109, 1055 AD Amsterdam",1055AD,695000,121,5744,4,2,4th floor,2008,A,leasehold (erfpacht),Eeuwigdure,148,Balcony 6 m²,available,"Leasehold bought off in perpetuity, 121 m² upstairs flat from 2008 on the 4th floor: 2 bedrooms, balcony 6 m², energy label A, VvE €148/month, €5.744/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NjA4OHw4MjU2MzkyMGIzNGI0MGMwNmIwNTVmNWY1OTk4YWE4MGIyODg1YTNhNDIxNzhhY2VkY2MzOWU0NTU0NjE2MjQ3YzYwZmViNDY4NTgzMmVmNmQ4MGNiMDdkYzQ4Y2Q4MGNlZjM0ZmQ1MGFlNGQzZGE4NTVhZTYzOGZkZDQzYzMxNnw5MDc1NDk/overzicht,2026-09-11 18:15
22,,yes,no,69,,,,,,,"James Rosskade 13 2, 1056 AE Amsterdam",1056AE,540000,96,5625,5,4,3rd floor,1949,D,leasehold (erfpacht),Eeuwigdure,,Balcony 8 m²,available,"Leasehold bought off in perpetuity, 96 m² upstairs flat from 1949 on the 3rd floor: 4 bedrooms, balcony 8 m², energy label D, €5.625/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3OTc2N3w1MmYyNTE4NDcwOWI2M2QwZDFhOTFmZjk5N2Q3ZDdjYTdlMGZhNjZhNWEyMDhhMjUwYjYzN2E3MGZlNDU2ZGY1YWZlMGQ3MjRjOGQ0ZDY2NjBiOTk2NTNjMjkyODUwN2M4NWI2NTExZjE2ZTYyYzU2YzgzNmI4MmE3YjM0YWE2Y3w5MDc1NDk/overzicht,2026-09-06 19:39
23,,yes,no,69,,,,,,,"Koninginneweg 185 2, 1075 CP Amsterdam",1075CP,695000,76,9145,3,1,2nd floor,1901,A,freehold (eigen grond),,,Balcony 10 m²,available,"Freehold 76 m² upstairs flat from 1901 on the 2nd floor: 1 bedrooms, balcony 10 m², energy label A, €9.145/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NTk0Mnw1MWZmNTA5NWVhYjg0MWNjMThlZjhiZjA0ZTgyZTM4MTcyNjBjNmE2ZDk5NTgwNTJjODg0YWM5Mjk5Y2MwOTllYTYyOGE4OTI3NGFhYzFlZmZkMjdiMTBiNTUxNjEwOTJkZWNjMTIxY2Y3ZWQ3ZDljZjdhZTUxYTgzYmIwZjBiNHw5MDc1NDk/overzicht,2026-09-11 18:11
24,,no,yes,68,,,,,,,"James Cookstraat 50 H, 1056 SC Amsterdam",1056SC,610000,65,9385,3,2,,1926,D,freehold (eigen grond),,250,Garden (Back garden),available,"Freehold 65 m² ground-floor flat from 1926: 2 bedrooms, garden (back garden), energy label D, VvE €250/month, €9.385/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NjI1NHxjMDg3MDRkNmM4NzY0MzI3ZDcxNThlY2IyYWM5MDk5ODVlZjhkODA5YzZjZmZkNWQ5Y2IwNGM2NmU5OTkzYmUzYzhlZjZhY2Q5NjNhZjAxZmM3MzBjYTM1M2Q2YWQzNTE1YWQ2YTI0OWUzZTI0N2Y5YWZiNGM5Y2Y2NzIwYzNlZHw5MDc1NDk/overzicht,2026-09-12 08:37
25,,no,yes,68,,,,,,,"Pieter Aertszstraat 125 3, 1074 VR Amsterdam",1074VR,785000,83,9458,3,2,3rd floor,1912,D,freehold (eigen grond),,100,Garden (Sun terrace) 16 m²,available,"Freehold 83 m² penthouse from 1912 on the 3rd floor: 2 bedrooms, garden (sun terrace) 16 m², energy label D, VvE €100/month, €9.458/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NTU1MHxhOWIyODJmZDg0NGJlZWY2YWI1MGRjNGU1NjcwYmRkZjRjYzU0ZDc3MGZhNjcyMGJmMmI1M2Y1NzBmMGI0NDVlMTYzYWUxYmI3ZjhkZjhjNzY1OGI1MWYzMDc3YzIwMWUwODEyNjRjYzYxOWNkOWIzOTY4ZDZhYmVkNWU3M2UzNXw5MDc1NDk/overzicht,2026-09-12 08:38
26,,yes,no,67,,,,,,,"Frederik Hendrikstraat 4 H, 1052 HT Amsterdam",1052HT,800000,93,8602,4,3,1st floor,1910,C,leasehold (erfpacht),2061-12-31,,Garden (Back garden),available,"Leasehold paid until 2061, 93 m² ground-floor flat from 1910 on the 1st floor: 4 bedrooms, garden (back garden), energy label C, €8.602/m² (under offer).",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg2MzU2NXw3MDI4YzEzMDc3Mzk5M2IzNzk5YTFlMGUzZmI2ZmRiYzBlNDI2ZGJkZTk5NDk5ZjczZTg3ODIyMjRmMWM0MzMyN2ViMmM2Y2RhODU5ZTBlYzFlMDFmYWQzODBmYzVhZWU5YzQ1OGRlNTY1YWYwMjliOTU1NjdlYmNkMzFiMDhjMHw5MDc1NDk/overzicht,2026-09-11 06:05
27,,yes,no,66,,,,,,,"Waterkeringweg 121, 1051 NZ Amsterdam",1051NZ,700000,101,6931,3,2,,1996,B,leasehold (erfpacht),2046-07-01,182,Balcony 5 m²,available,"Leasehold paid until 2046, 101 m² upstairs flat from 1996: 2 bedrooms, balcony 5 m², energy label B, VvE €182/month, €6.931/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3OTgwNHw1NjAzZWM0YjdmOTA1ZDI5MGY5NDljMDk4OTQxOGEwYjY0ZmNhNWJhYTAyNzliMDUwYjBmY2UxMzQ1YTQ4YzdiZDVlN2ViYmUyNjMzYmQ5ZjdmNWY5MTFlZjVkZjkxYTAzOTM3M2QyZWJiZTVjN2I2ZWU3OTc4ZTQyMWU1ZTEyZXw5MDc1NDk/overzicht,2026-09-11 06:04
28,,yes,no,65,,,,,,,"Stadionkade 161 4, 1076 BZ Amsterdam",1076BZ,750000,90,8333,3,2,1st floor,1931,B,leasehold (erfpacht),2055-05-15,130,Balcony 1 m²,available,"Leasehold paid until 2055, 90 m² upstairs flat from 1931 on the 1st floor: 2 bedrooms, balcony 1 m², energy label B, VvE €130/month, €8.333/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3OTc1M3w0N2QxYmM5NTQwNmVkMWIyNDdkMjUxOGVmZmUwOTJkMjliZmMyMDE3ZGI3ZjI4ZjliZGQxMzhkMDQwYzYyMGY5N2Q4OTU5YjQzZGI2NTBiZWU4ODdlOTNmN2ZiNjNjMTc5OWY5NGU3YjhhZTliNmFiYWY0OGY3ZDg5NWQ5MzlhYnw5MDc1NDk/overzicht,2026-09-11 06:04
29,,no,yes,65,,,,,,,"Sanderijnstraat 54 3, 1055 BW Amsterdam",1055BW,850000,110,7727,5,4,2nd floor,1940,A,leasehold (erfpacht),,92,Balcony 6 m²,available,"Leasehold (canon not yet checked), 110 m² upstairs flat from 1940 on the 2nd floor: 4 bedrooms, balcony 6 m², energy label A, VvE €92/month, €7.727/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NTg2Mnw2MWYxNDg5ZTIzNTU3OTRiYTUzMmEwZmFmNmNiNzU5MmQ1MjIzY2FhYzNkYjZiNTAxYWRmNzRiYmJlZDdmNDAwMTk2YzMzZTlkNzc1NGI0M2Q1MmZhY2E2MzkwOTM1MDQxNGUzMjYwM2RkZDNiYjMzNmExZTc0ZmQ1ZjBkZWY4Ynw5MDc1NDk/overzicht,2026-09-11 18:09
30,,no,yes,64,,,,,,,"Geuzenstraat 48 3, 1056 KE Amsterdam",1056KE,825000,97,8505,3,3,3rd floor,1933,D,leasehold (erfpacht),,90,Garden (Sun terrace) 21 m²,available,"Leasehold (canon not yet checked), 97 m² upstairs flat from 1933 on the 3rd floor: 3 bedrooms, garden (sun terrace) 21 m², energy label D, VvE €90/month, €8.505/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3ODg5MHw4NDM0NTQ0ZGYxYTgxNjlkN2Q3MDQ4NTEzYjMzMzAwNGNiYWIzYmU2Yjk3NzQzY2I2ZDYwZGE0OTgxMmNkMzIwM2FiMzEzZjQ2NzdmYTNiZDZmNGE1N2ZjY2M1MjA0MGIyZjZlM2RhODdjZGMwMWQ3YThiNzM3M2M2NDUwNzBmMXw5MDc1NDk/overzicht,2026-09-06 19:42
31,,no,yes,64,,,,,,,"Zeeburgerpad 45 F, 1019 AA Amsterdam",1019AA,690000,86,8023,3,2,1st floor,2026,A+++,,,,Balcony 13 m²,available,"86 m² intermediate floor from 2026 on the 1st floor: 2 bedrooms, balcony 13 m², energy label A+++, €8.023/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NDgzMXw5M2Y4MGRmYzdjNTQ2YzZkOGMxZmI0NjMyYTE2ZmE4N2VlNGFjOGJmZWFlMmUzMjExY2U4ZDc3ODY2NTZiOGFmMGFmOTlmM2I4ZDEzNzRhZDI0ZDk4MzBjOGYzODAyMDc1ODlmN2M1MzNhNDRjNjAxZDgxZDVlNGQwZWEwMzhjYXw5MDc1NDk/overzicht,2026-09-11 18:15
32,,no,yes,64,,,,,,,"Da Costakade 122 1, 1053 XB Amsterdam",1053XB,670000,73,9178,3,2,2nd floor,1905,C,leasehold (erfpacht),,110,Balcony 6 m²,available,"Leasehold (canon not yet checked), 73 m² upstairs flat from 1905 on the 2nd floor: 2 bedrooms, balcony 6 m², energy label C, VvE €110/month, €9.178/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5MjcyNXw5OGU4M2M4Yzc1MTQ0NWM4OTYzYjBkMjZiODNjM2I4ODk2OGYzODQ1YzdhYjAyYmE3NWIyNzYxZmEwOGQwNDg5NGJjOWE0ZmQwYjg0ZTYxZGMwNzNhYWJiOWIwZDMyZDNiMDBhOTM5NzliNGJkZGZiMjUxNDYzYjY1NzUzYTBlYnw5MDc1NDk/overzicht,2026-09-12 08:37
